startTime,openPrice,highPrice,lowPrice,closePrice,volume,turnover
1727808300000,147.66,147.74,146.68,146.93,113774.8,16744714.025
1727808600000,146.93,147.5,146.64,147.01,53977.1,7936734.409
1727808900000,147.01,147.66,146.98,147.3,36230.1,5338098.445
1727809200000,147.3,147.52,147.01,147.25,30418,4477995.797
1727809500000,147.25,147.47,146.94,147.1,23144.6,3406726.635
1727809800000,147.1,147.19,146.35,146.54,45911.8,6737400.573
1727810100000,146.54,146.98,146,146.89,106841.3,15635614.516
1727810400000,146.89,147.44,146.72,147.27,48375.9,7117006.961
1727810700000,147.27,147.75,147.21,147.49,39793.2,5869590.129
1727811000000,147.49,147.49,146.53,146.53,51180.7,7523067.592
1727811300000,146.53,147.27,146.53,147.02,41818,6139238.144
1727811600000,147.02,147.26,146.62,146.91,36733.2,5395786.47
1727811900000,146.91,146.93,146.24,146.25,45343.2,6646951.702
1727812200000,146.25,146.42,145.7,145.86,95670.8,13975707.336
1727812500000,145.86,146.12,145.16,145.37,90679.3,13202593.68
1727812800000,145.37,145.49,144.62,144.75,99048,14363577.745
1727813100000,144.75,144.91,143.27,143.35,264634.3,38119368.1
1727813400000,143.35,144.32,143.27,143.48,114536.8,16459147.529
1727813700000,143.48,143.95,142.97,143.2,108145.7,15515681.537
1727814000000,143.2,143.97,142.56,143.8,165671.3,23734735.244
1727814300000,143.8,144.15,142.99,143.61,114717.7,16468464.188
1727814600000,143.61,144.41,143.51,143.81,198545.6,28590208.767
1727814900000,143.81,144.07,142.35,142.9,199048.6,28474446.345
1727815200000,142.9,144.96,142.11,144.74,325728.1,46774744.163
1727815500000,144.74,145.86,144.02,145.58,257744.6,37374284.647
1727815800000,145.58,146,145.08,145.42,98317.6,14324350.772
1727816100000,145.42,145.75,144.67,144.98,96921.8,14075121.218
1727816400000,144.98,145.8,144.6,145.43,156326.2,22705147.437
1727816700000,145.43,145.5,144.45,144.47,44164.2,6399695.531
1727817000000,144.47,145.31,144.05,145.25,103258.3,14922882.753
1727817300000,145.25,145.39,144.65,144.66,38408.8,5566163.924
1727817600000,144.66,144.92,144.46,144.89,44032,6372396.505
1727817900000,144.89,145.08,144.55,145.04,15637.5,2264341.207
1727818200000,145.04,145.15,144.64,144.8,21124.3,3061259.552
1727818500000,144.8,145.03,144.51,144.99,20827.1,3015251.886
1727818800000,144.99,145.39,144.91,145.27,20921.4,3037853.696
1727819100000,145.27,145.65,145.19,145.62,25300.8,3680402.108
1727819400000,145.62,146.19,145.61,145.93,71322.9,10409878.891
1727819700000,145.93,146.37,145.92,146.2,36122.4,5281778.808
1727820000000,146.2,146.2,145,145.16,59600.2,8670000.39
1727820300000,145.16,145.72,145,145.25,42619.2,6198286.102
1727820600000,145.25,145.73,145.23,145.47,26827.2,3901873.724
1727820900000,145.47,145.88,145.38,145.61,20637.8,3005166.585
1727821200000,145.61,145.73,145.41,145.7,18992.1,2764751.676
1727821500000,145.7,145.74,145.25,145.25,17093.4,2486390.15
1727821800000,145.25,145.37,144.92,145.3,44646.2,6478426.375
1727822100000,145.3,145.34,144.37,144.4,43828,6351618.037
1727822400000,144.4,144.53,143.58,143.92,190604.8,27463047.603
1727822700000,143.92,144.29,143.86,144.28,28273.8,4072872.746
1727823000000,144.28,144.75,144.23,144.49,31641.1,4571730.896
1727823300000,144.49,144.61,144.33,144.61,18818.2,2719558.276
1727823600000,144.61,144.83,144.27,144.71,22168.7,3204384.286
1727823900000,144.71,145.21,144.62,145.02,32018.7,4641832.011
1727824200000,145.02,145.23,144.61,145,27534.1,3992004.684
1727824500000,145,145.37,144.97,145.13,24218.8,3516105.458
1727824800000,145.13,145.24,144.92,145.04,21354.2,3097817.494
1727825100000,145.04,145.04,144.07,144.11,32047.3,4628223.742
1727825400000,144.11,144.53,144.06,144.41,23996.4,3461528.826
1727825700000,144.41,145.16,144.35,145.08,26564.6,3848272.436
1727826000000,145.08,145.28,144.95,145.27,23855.8,3462016.569
1727826300000,145.27,145.31,145,145.18,23185.2,3365486.832
1727826600000,145.18,145.44,145.16,145.27,34258.9,4978976.044
1727826900000,145.27,145.34,145.07,145.07,11015.3,1599601.206
1727827200000,145.07,145.34,144.6,144.81,40218.9,5830014.386
1727827500000,144.81,144.98,144.58,144.72,32334.8,4681998.823
1727827800000,144.72,144.88,144.12,144.23,34172.7,4933498.232
1727828100000,144.23,144.65,143.72,144.59,94872,13665302.163
1727828400000,144.59,144.59,143.35,143.84,88195.9,12671792.68
1727828700000,143.84,144.68,143.84,144.4,48116.4,6948393.409
1727829000000,144.4,144.98,144.35,144.72,126688.6,18339564.362
1727829300000,144.72,145.26,144.68,144.99,87846.1,12737638.384
1727829600000,144.99,145.54,144.78,145.29,56366.8,8187405.42
1727829900000,145.29,145.33,144.53,144.74,51490.3,7458876.778
1727830200000,144.74,144.85,144.4,144.41,24482,3540249.398
1727830500000,144.41,144.55,143.86,144.43,60763.3,8765771.687
1727830800000,144.43,145.11,144.2,145.06,21595.8,3122762.157
1727831100000,145.06,145.35,144.93,145,58967.7,8561027.025
1727831400000,145,145.63,144.93,145.63,50150,7286263.108
1727831700000,145.63,145.67,145.18,145.3,29271.4,4257578.793
1727832000000,145.3,145.53,145.26,145.53,20327.5,2955855.759
1727832300000,145.53,145.89,145.46,145.66,43956.6,6406834.85
1727832600000,145.66,145.91,145.33,145.5,47312.6,6887517.984
1727832900000,145.5,145.75,145.29,145.31,17377.7,2528259.006
1727833200000,145.31,145.32,144.6,144.73,30273.4,4386525.125
1727833500000,144.73,145.36,144.7,145.27,18011.9,2612811.716
1727833800000,145.27,146.08,145.27,146,47011,6851246.037
1727834100000,146,146.23,145.98,146.1,41865.7,6117080.782
1727834400000,146.1,146.1,145.69,145.97,23724.3,3462018.797
1727834700000,145.97,146.18,145.66,146.17,12464.1,1818113.808
1727835000000,146.17,146.18,145.73,145.87,19776,2887068.511
1727835300000,145.87,146.03,145.62,146.01,17144.6,2500967.565
1727835600000,146.01,146.12,145.73,145.94,19469.3,2841939.74
1727835900000,145.94,146.65,145.76,146.33,44316.3,6483136.812
1727836200000,146.33,146.36,146.05,146.21,12174.2,1779752.708
1727836500000,146.21,146.52,145.95,146.13,22458.9,3283907.053
1727836800000,146.13,146.26,146,146.22,14078.8,2057161.82
1727837100000,146.22,146.79,146.21,146.67,21315.8,3123684.706
1727837400000,146.67,146.98,146.67,146.9,52118.3,7655054.987
1727837700000,146.9,147.35,146.87,147.25,31510.6,4635835.987
1727838000000,147.25,147.58,147.18,147.33,42966.2,6332016.905
1727838300000,147.33,147.74,147.32,147.73,21320.2,3146305.658
1727838600000,147.73,147.89,147.54,147.83,25410.5,3753710.312
1727838900000,147.83,147.97,147.42,147.63,21573.8,3187734.702
1727839200000,147.63,147.75,147.26,147.32,16382,2416390.593
1727839500000,147.32,147.37,147,147.02,20079.3,2955283.289
1727839800000,147.02,147.45,147.02,147.34,17907,2636915.524
1727840100000,147.34,147.59,147.16,147.52,18842.2,2776249.993
1727840400000,147.52,147.7,147.37,147.5,23904.4,3526560.927
1727840700000,147.5,147.51,147.24,147.25,13834.3,2038642.206
1727841000000,147.25,147.32,147.08,147.09,11111.6,1635670.29
1727841300000,147.09,147.27,147.09,147.14,7882,1160195.756
1727841600000,147.14,147.19,146.8,147.02,21377.2,3142829.661
1727841900000,147.02,147.05,146.65,146.66,25624.8,3762058.367
1727842200000,146.66,147.04,146.64,146.96,17799.2,2614670.933
1727842500000,146.96,146.97,146.74,146.85,7645.2,1122573.091
1727842800000,146.85,146.95,146.62,146.71,10888.5,1597912.897
1727843100000,146.71,147.13,146.63,147.1,15527,2279612.593
1727843400000,147.1,147.1,146.66,146.71,8288.1,1217487.028
1727843700000,146.71,146.9,146.64,146.8,7996.3,1173744.071
1727844000000,146.8,146.89,146.73,146.83,11068.1,1625059.942
1727844300000,146.83,146.84,146.43,146.46,15070.6,2209106.457
1727844600000,146.46,146.87,146.43,146.76,9504.5,1393922.764
1727844900000,146.76,146.93,146.49,146.64,12340.5,1810771.781
1727845200000,146.64,146.9,146.51,146.78,8903.1,1306075.113
1727845500000,146.78,147.1,146.7,147,7770.7,1142008.72
1727845800000,147,147.1,146.68,146.74,9295.8,1365990.968
1727846100000,146.74,146.92,146.58,146.92,6406.7,940175.05
1727846400000,146.92,146.92,146.45,146.53,15105.9,2216080.98
1727846700000,146.53,146.65,146.13,146.34,20419,2986614.531
1727847000000,146.34,146.5,146.15,146.33,16691,2442232.86
1727847300000,146.33,146.5,146.3,146.32,8450.3,1236954.956
1727847600000,146.32,146.55,146.32,146.5,8385.3,1227934.335
1727847900000,146.5,146.59,146.4,146.46,9194.8,1347042.875
1727848200000,146.46,146.49,146.14,146.21,12707.5,1859282.068
1727848500000,146.21,146.64,146.21,146.64,6969.4,1021062.521
1727848800000,146.64,146.94,146.5,146.87,11503.1,1687515.01
1727849100000,146.87,146.98,146.28,146.47,20528.6,3009807.031
1727849400000,146.47,147.02,146.47,147.01,23627.1,3467787.69
1727849700000,147.01,147.03,146.67,146.85,11905.9,1748598.05
1727850000000,146.85,147.06,146.76,147.06,10303.9,1513665.147
1727850300000,147.06,147.26,146.95,146.99,8031.8,1181436.079
1727850600000,146.99,147.71,146.97,147.64,31837.3,4692126.362
1727850900000,147.64,148.16,147.56,147.9,43446.7,6426543.63
1727851200000,147.9,148.81,147.77,148.66,75668.2,11238095.405
1727851500000,148.66,148.89,148.33,148.51,37909.5,5632056.709
1727851800000,148.51,148.76,148.25,148.34,22846.4,3392971.479
1727852100000,148.34,148.41,148.21,148.32,11462.2,1700001.301
1727852400000,148.32,148.46,148.16,148.29,43011.7,6378692.912
1727852700000,148.29,148.44,147.84,148.01,17479.3,2587823.214
1727853000000,148.01,148.16,147.65,147.89,22286.2,3295506.514
1727853300000,147.89,148.18,147.74,147.96,14847.3,2197485.594
1727853600000,147.96,147.98,147.55,147.73,17126.5,2531075.997
1727853900000,147.73,148.09,147.63,147.98,25506.4,3773213.798
1727854200000,147.98,148.25,147.93,148.25,28342.4,4197693.904
1727854500000,148.25,148.71,148.22,148.53,29929.2,4444521.892
1727854800000,148.53,148.62,148.21,148.29,22656.4,3363165.709
1727855100000,148.29,148.62,148.21,148.28,22327.7,3314646.055
1727855400000,148.28,148.29,147.82,147.87,31990.2,4734067.802
1727855700000,147.87,147.9,147.7,147.7,9888.3,1461288.667
1727856000000,147.7,147.78,147.4,147.7,33807.4,4987957.357
1727856300000,147.7,147.74,147.08,147.17,42593.7,6279657.032
1727856600000,147.17,147.38,147.17,147.31,16013,2358279.702
1727856900000,147.31,147.67,147.23,147.56,40340.4,5948705.611
1727857200000,147.56,147.98,147.52,147.98,32703.5,4832288.208
1727857500000,147.98,148,147.75,147.77,16945.5,2505720.694
1727857800000,147.77,148.4,147.76,148.3,27094.2,4016039.222
1727858100000,148.3,148.33,147.94,148.19,19512.4,2891046.255
1727858400000,148.19,148.24,147.8,147.86,8378.6,1239976.429
1727858700000,147.86,148.05,147.8,147.93,10740.8,1588958.914
1727859000000,147.93,148.09,147.88,147.91,5762.2,852638.4
1727859300000,147.91,148.1,147.9,147.93,8486.4,1256218.183
1727859600000,147.93,148.1,147.78,147.83,15926.1,2356606.409
1727859900000,147.83,148.04,147.51,147.53,21821.2,3222607.137
1727860200000,147.53,147.66,147.35,147.48,17015.8,2509754.92
1727860500000,147.48,147.53,147.06,147.28,24558.2,3616280.912
1727860800000,147.28,147.43,146.89,147.12,41769.6,6144771.296
1727861100000,147.12,147.22,146.79,147.01,27421.8,4030532.419
1727861400000,147.01,147.18,146.81,146.93,19557.5,2874518.123
1727861700000,146.93,146.96,146.66,146.73,38922.2,5714130.864
1727862000000,146.73,146.8,146.21,146.42,65294.1,9559901.903
1727862300000,146.42,146.5,145.51,145.84,132847.3,19377480.058
1727862600000,145.84,146.24,145.74,145.79,57830.4,8440779.494
1727862900000,145.79,146.29,145.72,145.96,33225.2,4852419.198
1727863200000,145.96,146,145.57,145.66,25327.2,3692238.96
1727863500000,145.66,146,145.64,145.93,28912.4,4215709.093
1727863800000,145.93,145.97,145.65,145.7,12178.2,1775736.262
1727864100000,145.7,146.37,145.67,146.28,24889.8,3635391.292
1727864400000,146.28,146.41,145.9,146.38,23811.1,3480308.943
1727864700000,146.38,146.77,146.38,146.73,46274,6784384.749
1727865000000,146.73,147.2,146.67,147.02,51146.5,7513990.609
1727865300000,147.02,147.1,146.38,146.54,26380.5,3869927.795
1727865600000,146.54,146.67,146.32,146.57,21917.3,3209760.009
1727865900000,146.57,146.84,146.48,146.7,12237.8,1794924.145
1727866200000,146.7,146.7,146.13,146.17,20404.6,2986979.609
1727866500000,146.17,146.27,145.63,145.7,53187.5,7759849.49
1727866800000,145.7,146.48,145.65,145.93,41980.9,6129592.282
1727867100000,145.93,146.01,145.1,145.13,162522.8,23645870.675
1727867400000,145.13,146.04,145.1,145.96,59342.8,8649586.347
1727867700000,145.96,146.5,145.54,145.62,61146.2,8933717.861
1727868000000,145.62,146.12,145.56,145.95,31441.8,4586538.16
1727868300000,145.95,146.38,145.91,146.3,29039.7,4246555.507
1727868600000,146.3,146.66,146.05,146.32,30227.8,4423834.202
1727868900000,146.32,146.54,146.1,146.15,33374.2,4882594.926
1727869200000,146.15,146.36,146.04,146.25,27441,4010660.152
1727869500000,146.25,146.27,145.82,146.11,20812,3038617.832
1727869800000,146.11,146.11,145.74,145.9,16526.1,2411122.427
1727870100000,145.9,146.12,145.76,146.03,11332.3,1654675.052
1727870400000,146.03,146.13,145.62,145.79,15124.7,2206205.506
1727870700000,145.79,145.79,145.1,145.27,57730.3,8392086.171
1727871000000,145.27,145.3,144.64,144.84,116642.4,16905849.994
1727871300000,144.84,145.24,144.38,144.6,134477,19458681.932
1727871600000,144.6,145.36,144.59,145.1,46588.5,6758678.541
1727871900000,145.1,145.33,144.64,144.96,42179.8,6117601.916
1727872200000,144.96,145.46,144.86,145.36,28916.2,4200554.156
1727872500000,145.36,145.37,145.08,145.35,16297.5,2366621.833
1727872800000,145.35,145.86,145.2,145.2,47651.3,6935062.356
1727873100000,145.2,145.24,144.31,144.6,85023.5,12294299.737
1727873400000,144.6,144.71,144.04,144.19,68984.9,9954599.297
1727873700000,144.19,144.32,143.51,143.87,160048.3,23024544.356
1727874000000,143.87,143.98,143.46,143.46,61319,8810754.063
1727874300000,143.46,144,143.23,143.63,55294.7,7941672.823
1727874600000,143.63,144.29,143.45,144.14,47520.2,6839288.615
1727874900000,144.14,144.18,143.47,143.91,46226,6644016.009
1727875200000,143.91,144.37,143.85,144.06,28890.5,4165860.397
1727875500000,144.06,144.07,143.57,143.6,29447.1,4237137.982
1727875800000,143.6,143.65,142.63,142.97,154194.3,22051757.91
1727876100000,142.97,143.25,142.63,143.18,78851,11265042.625
1727876400000,143.18,143.96,143.02,143.76,51086.7,7331325.004
1727876700000,143.76,145.34,143.76,145.15,144482,20914429.853
1727877000000,145.15,145.84,145.07,145.66,165934.2,24147554.899
1727877300000,145.66,146.34,145.33,145.88,142861.1,20834902.864
1727877600000,145.88,146.58,145.67,146.1,79061.2,11553870.669
1727877900000,146.1,146.41,145.63,146.01,63127.7,9213010.635
1727878200000,146.01,146.26,145.31,145.46,49959,7282669.976
1727878500000,145.46,146.44,145.05,146.44,83227.5,12131353.648
1727878800000,146.44,146.67,145.12,145.18,79117.6,11543543.82
1727879100000,145.18,146.21,145.16,145.79,57372.6,8363707.207
1727879400000,145.79,146.42,145.57,146,33755,4928987.32
1727879700000,146,146.4,145.76,146.33,42578.5,6221316.936
1727880000000,146.33,146.7,146.22,146.43,57452.9,8417050.716
1727880300000,146.43,146.96,146.24,146.86,53572.7,7857079.97
1727880600000,146.86,146.93,145.71,145.77,49658.2,7269675.887
1727880900000,145.77,146.02,145.17,145.19,43917.7,6396271.687
1727881200000,145.19,146.08,145.11,146.06,40709.3,5929171.078
1727881500000,146.06,146.42,145.69,145.93,28267.5,4130061.039
1727881800000,145.93,146.07,145.49,145.87,15744.3,2295899.393
1727882100000,145.87,147.11,145.84,146.98,113897.1,16716415.354
1727882400000,146.98,147.17,146.52,147.16,57306.1,8418917.051
1727882700000,147.16,147.41,146.68,147.21,47833.2,7033457.566
1727883000000,147.21,147.46,147.03,147.35,49679.2,7314973.361
1727883300000,147.35,147.63,147.19,147.42,53828.4,7938149.898
1727883600000,147.42,147.47,147.05,147.29,32971.4,4853829.118
1727883900000,147.29,147.45,146.87,147.35,40037.7,5893412.786
1727884200000,147.35,147.43,147.04,147.08,26591.4,3915221.9
1727884500000,147.08,147.51,146.96,147.42,28349.1,4173218.94
1727884800000,147.42,148.02,147.34,148.02,55674.9,8226043.059
1727885100000,148.02,148.39,147.75,147.75,81696.6,12106681.534
1727885400000,147.75,147.89,147.05,147.32,74300.2,10949346.813
1727885700000,147.32,147.45,146.91,146.99,41128.5,6053283.618
1727886000000,146.99,147.42,146.76,147.2,35859.3,5272203.429
1727886300000,147.2,147.42,146.91,146.93,26020.5,3829254.951
1727886600000,146.93,147.11,146.77,146.96,23042.2,3385501.346
1727886900000,146.96,147.28,146.75,146.75,24047.8,3534816.137
1727887200000,146.75,146.82,146.45,146.51,46476.3,6814300.085
1727887500000,146.51,146.58,146.03,146.37,63594.3,9302346.813
1727887800000,146.37,146.71,146.29,146.38,27976.2,4098576.93
1727888100000,146.38,146.44,145.91,145.97,25394.2,3710160.533
1727888400000,145.97,146.03,145.37,145.37,57424.5,8365110.782
1727888700000,145.37,146.01,145.37,145.79,48821.9,7118791.91
1727889000000,145.79,146.31,145.76,146.16,28279.6,4130079.729
1727889300000,146.16,146.27,145.93,146.08,13164.3,1923298.236
1727889600000,146.08,146.21,145.65,145.76,21922.8,3198176.835
1727889900000,145.76,145.81,145.55,145.72,41458.3,6040480.224
1727890200000,145.72,145.74,144.75,144.76,79997.2,11618088.315
1727890500000,144.76,145.74,144.71,145.61,102891.6,14952226.219
1727890800000,145.61,145.7,145.36,145.52,41946.8,6104927.085
1727891100000,145.52,145.92,145.48,145.79,39326.2,5730876.476
1727891400000,145.79,145.85,145.46,145.75,19455.1,2833805.009
1727891700000,145.75,145.94,145.53,145.62,15681.6,2285065.599
1727892000000,145.62,145.79,144.7,144.8,95855.3,13904894.477
1727892300000,144.8,144.93,144.36,144.66,78174.4,11310792.545
1727892600000,144.66,144.74,143.69,143.78,88723,12785069.084
1727892900000,143.78,143.99,142.96,143.49,188166.6,26978869.888
1727893200000,143.49,144.51,143.21,144.26,94429.2,13602751.423
1727893500000,144.26,144.31,143.63,144,46886.3,6750085.113
1727893800000,144,144.31,143.69,144.08,43718,6293438.044
1727894100000,144.08,144.12,143.57,143.92,22239.2,3198888.471
1727894400000,143.92,144.32,143.76,144.29,16353.6,2356342.683
1727894700000,144.29,144.3,143.33,143.46,35080.1,5039285.242
1727895000000,143.46,143.53,143.05,143.06,52861.5,7573022.903
1727895300000,143.06,143.14,141.72,142.18,254919.6,36296761.619
1727895600000,142.18,142.76,140.83,140.95,260142.2,36868288.917
1727895900000,140.95,141.27,139.82,140.84,358021.2,50357367.518
1727896200000,140.84,141.18,139.82,140.93,203353.2,28551447.658
1727896500000,140.93,140.96,138.41,138.75,518635.5,72272551.346
1727896800000,138.75,139.72,138.69,138.96,198246.7,27599665.853
1727897100000,138.96,139.17,138.65,139.06,112607.5,15650136.031
1727897400000,139.06,139.66,138.99,139.23,85049.9,11852233.765
1727897700000,139.23,139.57,138.58,139.53,81058.8,11269076.33
1727898000000,139.53,139.87,139.32,139.57,76880.4,10737457.45
1727898300000,139.57,139.94,138.8,139.1,84730.4,11803382.74
1727898600000,139.1,140.16,139,140,100380.2,14020772.772
1727898900000,140,140.67,139.85,139.93,101293.3,14209391.843
1727899200000,139.93,140.42,139.47,140.11,56057.1,7849918.973
1727899500000,140.11,140.22,139.49,140.18,48540.8,6788838.135
1727899800000,140.18,140.5,139.06,139.62,118559.8,16547823.102
1727900100000,139.62,139.96,139.09,139.52,69294.3,9667405.603
1727900400000,139.52,139.61,138.71,138.98,77809.5,10823204.851
1727900700000,138.98,139.19,138.5,139.04,76628.7,10637552.942
1727901000000,139.04,139.73,138.81,139.39,60134,8379301.614
1727901300000,139.39,139.92,139.2,139.92,43553.7,6074887.9
1727901600000,139.92,140.79,139.71,140.57,96588.3,13554698.581
1727901900000,140.57,140.82,140.15,140.66,62934.9,8842679.891
1727902200000,140.66,141.5,140.56,141.11,78272.1,11042001.707
1727902500000,141.11,141.16,140.43,140.72,126021,17745538.387
1727902800000,140.72,140.99,140.48,140.52,47410.8,6673132.216
1727903100000,140.52,140.53,139.87,139.88,59084.4,8287752.255
1727903400000,139.88,140.21,139.72,139.95,49218,6888222.749
1727903700000,139.95,140.13,139.64,140.1,28036.9,3920717.608
1727904000000,140.1,140.39,139.98,140.25,21049.6,2951802.467
1727904300000,140.25,140.91,140.18,140.81,44269.1,6221113.426
1727904600000,140.81,141.16,140.73,140.98,61613.4,8688525.526
1727904900000,140.98,141.02,140.42,140.65,29444.9,4142624.843
1727905200000,140.65,140.94,140.49,140.91,8167.4,1148644.467
1727905500000,140.91,141.13,140.85,141.05,25520.2,3598629.804
1727905800000,141.05,141.05,140.89,140.89,9218.2,1299449.961
1727906100000,140.89,141.46,140.61,140.77,44414.4,6266080.885
1727906400000,140.77,140.78,140.14,140.27,42344.9,5945206.38
1727906700000,140.27,140.46,139.78,139.87,62697.2,8777157.821
1727907000000,139.87,139.97,139.29,139.77,84714.3,11823673.524
1727907300000,139.77,140.25,139.39,140.25,21802.7,3050152.727
1727907600000,140.25,140.3,139.81,140.01,31284,4381314
1727907900000,140.01,140.46,139.86,140.16,52804.3,7405256.536
1727908200000,140.16,140.57,140.03,140.42,24333.1,3415954.81
1727908500000,140.42,140.79,140.36,140.65,22156.5,3116608.408
1727908800000,140.65,140.96,140.55,140.91,18543.2,2611000.751
1727909100000,140.91,141.13,140.78,140.93,18830.4,2654200.226
1727909400000,140.93,141.19,140.88,141.1,12313.4,1736594.664
1727909700000,141.1,141.55,141,141.51,23000.2,3250062.811
1727910000000,141.51,141.65,140.99,141.36,22701.6,3208888.4
1727910300000,141.36,141.37,141.18,141.28,17738.9,2506274.382
1727910600000,141.28,141.42,141.03,141.17,12650.4,1786206.066
1727910900000,141.17,141.45,141.05,141.13,21045.9,2972429.379
1727911200000,141.13,141.41,140.77,140.98,31515.2,4444358.54
1727911500000,140.98,141.13,140.91,140.97,16653.6,2348031.351
1727911800000,140.97,141.07,140.77,140.92,9557.7,1346763.018
1727912100000,140.92,140.95,140.67,140.88,18983,2673870.751
1727912400000,140.88,140.89,140.46,140.58,13393.3,1883711.437
1727912700000,140.58,140.83,140.15,140.26,47878.8,6727055.507
1727913000000,140.26,140.28,140.1,140.22,14236,1995599.288
1727913300000,140.22,140.4,140.09,140.09,17675.4,2478791.684
1727913600000,140.09,140.63,139.41,139.41,85387.7,11953964.012
1727913900000,139.41,139.96,139.06,139.96,70488.9,9820736.766
1727914200000,139.96,140.47,139.93,140.16,42513.5,5960012.718
1727914500000,140.16,140.21,139.47,139.51,26608.5,3720501.37
1727914800000,139.51,139.66,138.83,139.12,59054.8,8216624.523
1727915100000,139.12,139.87,138.54,139.55,99825.9,13884212.856
1727915400000,139.55,140.79,139.51,140.63,80947,11361841.407
1727915700000,140.63,141.24,140.33,141.2,51594.2,7268501.203
1727916000000,141.2,141.33,139.82,140.02,113219.5,15907603.131
1727916300000,140.02,140.53,139.96,140.18,47244.9,6626156.739
1727916600000,140.18,140.48,140.1,140.19,27674.5,3882279.783
1727916900000,140.19,140.78,139.88,140.56,34781.6,4878732.456
1727917200000,140.56,141.2,140.52,141.13,38884.6,5479388.459
1727917500000,141.13,141.2,140.62,140.66,20285.5,2860354.553
1727917800000,140.66,141.16,140.47,141.03,47704.8,6721190.53
1727918100000,141.03,141.16,140.83,140.89,28330.4,3994330.391
1727918400000,140.89,141.98,140.85,141.92,113434.9,16053497.195
1727918700000,141.92,142.05,141.53,142.04,57100.1,8096061.416
1727919000000,142.04,142.05,141.66,141.93,30834.8,4375196.879
1727919300000,141.93,142.07,141.6,142.02,21582.6,3060507.18
1727919600000,142.02,142.06,141.46,141.46,25613.8,3632002.079
1727919900000,141.46,141.48,141.09,141.31,37312.8,5271069.424
1727920200000,141.31,141.84,141.27,141.73,17723.6,2509487.215
1727920500000,141.73,141.85,141.22,141.29,16374.3,2316081.151
1727920800000,141.29,141.46,140.96,141.11,26466.2,3736819.912
1727921100000,141.11,142.03,141.1,142,23444.5,3321317.726
1727921400000,142,142.32,141.9,142.19,30402.2,4322123.826
1727921700000,142.19,142.32,141.84,142.11,22929.7,3258810.939
1727922000000,142.11,142.29,141.74,141.78,21431.7,3043135.925
1727922300000,141.78,141.92,141.68,141.79,25989.3,3683953.45
1727922600000,141.79,142.09,141.62,141.92,13030.5,1847345.556
1727922900000,141.92,141.95,141.29,141.43,20413.4,2889776.118
1727923200000,141.43,141.67,141.4,141.65,7136.3,1009808.713
1727923500000,141.65,142.26,141.62,142.09,20565.4,2920989.282
1727923800000,142.09,142.24,142,142.16,14420.9,2049492.999
1727924100000,142.16,142.32,141.84,141.95,14462.9,2055518.167
1727924400000,141.95,142.03,141.59,141.67,12234.9,1734940.259
1727924700000,141.67,141.82,141.61,141.71,9553.6,1353741.368
1727925000000,141.71,141.84,141.62,141.7,13999.4,1984091.476
1727925300000,141.7,142.35,141.65,142.26,15715.5,2230188.081
1727925600000,142.26,142.62,142.16,142.46,51001.6,7264895.108
1727925900000,142.46,142.61,142.26,142.27,23705.7,3376763.164
1727926200000,142.27,142.7,142.27,142.42,24776,3530345.952
1727926500000,142.42,142.48,142.08,142.21,32242.3,4587229.941
1727926800000,142.21,142.27,142.04,142.14,8296.7,1179327.859
1727927100000,142.14,142.44,142.04,142.44,21418.8,3046861.346
1727927400000,142.44,142.53,142.27,142.31,19632.3,2795272.528
1727927700000,142.31,143,142.27,142.83,65307.4,9325969.847
1727928000000,142.83,142.83,142.43,142.71,19139.5,2729693.445
1727928300000,142.71,142.71,142.27,142.5,19627.8,2795580.175
1727928600000,142.5,142.56,142.18,142.18,11571.5,1647389.301
1727928900000,142.18,142.37,141.96,142.08,16205.1,2303512
1727929200000,142.08,142.08,141.74,141.86,18409.7,2611866.195
1727929500000,141.86,142.14,141.85,142.14,17937.8,2546358.404
1727929800000,142.14,142.59,142.09,142.47,18670,2659013.742
1727930100000,142.47,142.53,142.3,142.53,7779.1,1107612.47
1727930400000,142.53,142.54,142.36,142.53,8383.9,1194256.544
1727930700000,142.53,142.73,142.36,142.37,18569.9,2648492.543
1727931000000,142.37,142.37,141.99,142.01,18386.9,2613644.096
1727931300000,142.01,142.12,141.84,142.05,11810.8,1676754.043
1727931600000,142.05,142.29,141.9,141.9,10174.7,1445820.466
1727931900000,141.9,142.08,141.85,142.01,23299.3,3307327.785
1727932200000,142.01,142.09,141.9,141.91,8216.9,1166876.495
1727932500000,141.91,142.01,141.77,141.85,14840.9,2106163.446
1727932800000,141.85,141.93,141.65,141.81,14042.7,1991281.096
1727933100000,141.81,141.86,141.73,141.86,5829.3,826496.93
1727933400000,141.86,141.91,141.33,141.61,91501.4,12952520.205
1727933700000,141.61,141.73,141.2,141.23,45290.7,6404134.553
1727934000000,141.23,141.56,141.18,141.47,22617,3198375.653
1727934300000,141.47,141.67,141.18,141.24,28517.9,4031230.766
1727934600000,141.24,141.28,140.91,141.03,52119.5,7354466.418
1727934900000,141.03,141.25,140.84,141.2,31595.4,4456479.561
1727935200000,141.2,141.22,140.93,141.16,14601.7,2060368.926
1727935500000,141.16,141.65,141.15,141.61,15471.8,2189332.199
1727935800000,141.61,142,141.6,141.84,28882.9,4097878.874
1727936100000,141.84,142.1,141.73,141.89,12091.1,1715925.689
